state_name,State,city,pop_denom
Alabama,AL,,5039877
Alaska,AK,,732673
Arizona,AZ,,7276316
Arkansas,AR,,3025891
California,CA,,39237836
Colorado,CO,,5812069
Connecticut,CT,,3605597
Delaware,DE,,1003384
District of Columbia,DC,,670050
Florida,FL,,21781128
Georgia,GA,,10799566
Hawaii,HI,,1441553
Idaho,ID,,1900923
Illinois,IL,,12671469
Indiana,IN,,6805985
Iowa,IA,,3193079
Kansas,KS,,2934582
Kentucky,KY,,4509394
Louisiana,LA,,4624047
Maine,ME,,1372247
Maryland,MD,,6165129
Massachusetts,MA,,6984723
Michigan,MI,,10050811
Minnesota,MN,,5707390
Mississippi,MS,,2949965
Missouri,MO,,6168187
Montana,MT,,1104271
Nebraska,NE,,1963692
Nevada,NV,,3143991
New Hampshire,NH,,1388992
New Jersey,NJ,,9267130
New Mexico,NM,,2115877
New York,NY,,1985913
North Carolina,NC,,10551162
North Dakota,ND,,774948
Ohio,OH,,11780017
Oklahoma,OK,,3986639
Oregon,OR,,4246155
Pennsylvania,PA,,12964056
Rhode Island,RI,,1095610
South Carolina,SC,,5190705
South Dakota,SD,,895376
Tennessee,TN,,6975218
Texas,TX,,29527941
Utah,UT,,3337975
Vermont,VT,,645570
Virginia,VA,,8642274
Washington,WA,,7738692
West Virginia,WV,,1782959
Wisconsin,WI,,5895908
Wyoming,WY,,578803
Puerto Rico,PR,,3263584
United States,US,,331893745
,,New York City,8467513
,,London,8799800
ADAMS,,,522509
ALAMOSA,,,16510
ARAPAHOE,,,655580
ARCHULETA,,,13802
BACA,,,3487
BENT,,,5723
BOULDER,,,329789
BROOMFIELD,,,75361
CHAFFEE,,,20095
CHEYENNE,,,1716
CLEAR CREEK,,,9453
CONEJOS,,,7581
COSTILLA,,,3619
CROWLEY,,,6016
CUSTER,,,5051
DELTA,,,31674
DENVER,,,711975
DOLORES,,,2130
DOUGLAS,,,369287
EAGLE,,,55702
EL PASO,,,738534
ELBERT,,,27120
FREMONT,,,49636
GARFIELD,,,62151
GILPIN,,,5882
GRAND,,,15835
GUNNISON,,,17293
HINSDALE,,,779
HUERFANO,,,6940
JACKSON,,,1359
JEFFERSON,,,579651
KIOWA,,,1452
KIT CARSON,,,6923
LA PLATA,,,56280
LAKE,,,7392
LARIMER,,,362773
LAS ANIMAS,,,14637
LINCOLN,,,5669
LOGAN,,,21441
MESA,,,157320
MINERAL,,,930
MOFFAT,,,13160
MONTEZUMA,,,26226
MONTROSE,,,43178
MORGAN,,,28982
OTERO,,,18556
OURAY,,,5048
PARK,,,17720
PHILLIPS,,,4496
PITKIN,,,17329
PROWERS,,,11978
PUEBLO,,,169503
RIO BLANCO,,,6463
RIO GRANDE,,,11399
ROUTT,,,25099
SAGUACHE,,,6506
SAN JUAN,,,736
SAN MIGUEL,,,8080
SEDGWICK,,,2331
SUMMIT,,,30970
TELLER,,,24919
WASHINGTON_CO,,,4860
WELD,,,340131
YUMA,,,9945
